run_name,speed_id,seed,config_relpath,results_dir_relpath,task.evader_speed,capture_rate,timeout_rate,collision_rate,success_capture_rate,avg_episode_return,avg_episode_len,mean_C_cov,mean_C_col,eval_episodes_found
ex1_evader_speed_s001_evs0p1_seed101,s001,101,configs/generated/evader_speed_sweep/ex1_evader_speed_s001_evs0p1_seed101.yaml,results/ex1_evader_speed_s001_evs0p1_seed101,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s001_evs0p1_seed102,s001,102,configs/generated/evader_speed_sweep/ex1_evader_speed_s001_evs0p1_seed102.yaml,results/ex1_evader_speed_s001_evs0p1_seed102,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s001_evs0p1_seed103,s001,103,configs/generated/evader_speed_sweep/ex1_evader_speed_s001_evs0p1_seed103.yaml,results/ex1_evader_speed_s001_evs0p1_seed103,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s002_evs0p13_seed101,s002,101,configs/generated/evader_speed_sweep/ex1_evader_speed_s002_evs0p13_seed101.yaml,results/ex1_evader_speed_s002_evs0p13_seed101,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s002_evs0p13_seed102,s002,102,configs/generated/evader_speed_sweep/ex1_evader_speed_s002_evs0p13_seed102.yaml,results/ex1_evader_speed_s002_evs0p13_seed102,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s002_evs0p13_seed103,s002,103,configs/generated/evader_speed_sweep/ex1_evader_speed_s002_evs0p13_seed103.yaml,results/ex1_evader_speed_s002_evs0p13_seed103,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s003_evs0p16_seed101,s003,101,configs/generated/evader_speed_sweep/ex1_evader_speed_s003_evs0p16_seed101.yaml,results/ex1_evader_speed_s003_evs0p16_seed101,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s003_evs0p16_seed102,s003,102,configs/generated/evader_speed_sweep/ex1_evader_speed_s003_evs0p16_seed102.yaml,results/ex1_evader_speed_s003_evs0p16_seed102,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s003_evs0p16_seed103,s003,103,configs/generated/evader_speed_sweep/ex1_evader_speed_s003_evs0p16_seed103.yaml,results/ex1_evader_speed_s003_evs0p16_seed103,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s004_evs0p19_seed101,s004,101,configs/generated/evader_speed_sweep/ex1_evader_speed_s004_evs0p19_seed101.yaml,results/ex1_evader_speed_s004_evs0p19_seed101,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s004_evs0p19_seed102,s004,102,configs/generated/evader_speed_sweep/ex1_evader_speed_s004_evs0p19_seed102.yaml,results/ex1_evader_speed_s004_evs0p19_seed102,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s004_evs0p19_seed103,s004,103,configs/generated/evader_speed_sweep/ex1_evader_speed_s004_evs0p19_seed103.yaml,results/ex1_evader_speed_s004_evs0p19_seed103,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s005_evs0p22_seed101,s005,101,configs/generated/evader_speed_sweep/ex1_evader_speed_s005_evs0p22_seed101.yaml,results/ex1_evader_speed_s005_evs0p22_seed101,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s005_evs0p22_seed102,s005,102,configs/generated/evader_speed_sweep/ex1_evader_speed_s005_evs0p22_seed102.yaml,results/ex1_evader_speed_s005_evs0p22_seed102,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s005_evs0p22_seed103,s005,103,configs/generated/evader_speed_sweep/ex1_evader_speed_s005_evs0p22_seed103.yaml,results/ex1_evader_speed_s005_evs0p22_seed103,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s006_evs0p25_seed101,s006,101,configs/generated/evader_speed_sweep/ex1_evader_speed_s006_evs0p25_seed101.yaml,results/ex1_evader_speed_s006_evs0p25_seed101,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s006_evs0p25_seed102,s006,102,configs/generated/evader_speed_sweep/ex1_evader_speed_s006_evs0p25_seed102.yaml,results/ex1_evader_speed_s006_evs0p25_seed102,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ex1_evader_speed_s006_evs0p25_seed103,s006,103,configs/generated/evader_speed_sweep/ex1_evader_speed_s006_evs0p25_seed103.yaml,results/ex1_evader_speed_s006_evs0p25_seed103,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
